energy,tempo,danceability,liveness,valence,duration_ms,loudness,playlist_genre,track_name,track_artist,track_popularity,analysis_url
0.00159,142.127,0.137,0.122,0.0355,205071,-38.056,wellness,Soundbed,Spring Euphemia,48,https://api.spotify.com/v1/audio-analysis/5A0kxibkbR8Wzgv07eyGtu
0.0016,142.818,0.133,0.112,0.0315,198000,-40.103,ambient,Ceres,Ageena,53,https://api.spotify.com/v1/audio-analysis/15yzjfz4HkzuITxJjajVVX
0.00161,140.997,0.138,0.0951,0.155,144750,-43.643,ambient,Touches,Somnum Magnam,72,https://api.spotify.com/v1/audio-analysis/6KzdWw8Hi1bz1lVw2AXDzb
0.00165,138.002,0.144,0.145,0.0336,161194,-38.522,wellness,Tempest,Chasing Storms,45,https://api.spotify.com/v1/audio-analysis/3PzsiqywMM10T2frPmozQe
0.00167,67.628,0.175,0.108,0.0367,156664,-40.472,ambient,Connection,Latehours,49,https://api.spotify.com/v1/audio-analysis/48E9vNhkFZTSiTpbeEcq8T
0.00175,140.224,0.138,0.15,0.0388,179110,-41.831,wellness,Dust,Tristan Axvall,49,https://api.spotify.com/v1/audio-analysis/6yBYZ1cSkwQ2Uv51RxFjDC
0.00177,68.359,0.162,0.108,0.0374,169500,-38.093,wellness,Nattord,Eleonora Feldt,45,https://api.spotify.com/v1/audio-analysis/5Vab4sH6FYCTPHEZHFlIhQ
0.00177,137.129,0.149,0.111,0.0316,178889,-38.076,wellness,Villa Onieva,Two Nighthawks,47,https://api.spotify.com/v1/audio-analysis/3ec9xaaV7mYDlki1e7unJS
0.00178,136.305,0.158,0.11,0.0378,146000,-39.647,wellness,Spectral Vibrations,Paulo May,48,https://api.spotify.com/v1/audio-analysis/364Yxnly3Q1XvxWZRwFtS1
0.00183,133.97,0.156,0.114,0.126,186000,-46.861,wellness,Droplet of Grace,South Noon,46,https://api.spotify.com/v1/audio-analysis/3W2UlaHx93we9YqM1BvjFZ
0.00184,73.583,0.175,0.0989,0.147,179294,-41.3,wellness,Melancholy,Jonas Sandberg,62,https://api.spotify.com/v1/audio-analysis/569aPavFjL3WvPwZepX67d
0.00185,136.52,0.149,0.105,0.0683,189396,-37.398,wellness,Quiet Lake,ZenithEcho,47,https://api.spotify.com/v1/audio-analysis/39dfa566WWFrWpauUTcyeB
0.00186,79.471,0.131,0.142,0.0907,145396,-33.002,wellness,Shelter,Armando Mago,49,https://api.spotify.com/v1/audio-analysis/6AOdCocb5K5qoqtgJJZfbv
0.00187,67.35,0.133,0.111,0.038,181000,-44.115,wellness,Listen,Maximilian Sievert,44,https://api.spotify.com/v1/audio-analysis/2SOtrZCAuoNn2FvF6Skq6a
0.00203,138.376,0.143,0.108,0.0397,189103,-33.389,wellness,The Source,SKEN,49,https://api.spotify.com/v1/audio-analysis/5oKVPdVRznGeBxtaH4yyEw
0.00203,141.008,0.137,0.104,0.0968,151071,-40.371,wellness,Sanyog,Aasmi Jayavant,45,https://api.spotify.com/v1/audio-analysis/4jS79eUku1DjatFHoM06Xd
0.00204,136.698,0.148,0.108,0.117,158500,-34.403,wellness,Millenia,Dominum Nominum,55,https://api.spotify.com/v1/audio-analysis/0htFs1gMdUkSo6Z81CCaJ7
0.00207,71.505,0.15,0.117,0.149,178000,-45.66,ambient,Mahabharata,Mellow Line,52,https://api.spotify.com/v1/audio-analysis/5X5nxaIGTBD83D93pqAjcr
0.00214,131.992,0.154,0.108,0.037,187333,-41.74,wellness,Desear,Julia Alvarez,58,https://api.spotify.com/v1/audio-analysis/4a20vranOH3ic2txQ463jc
0.00218,68.426,0.137,0.115,0.0377,177000,-40.358,wellness,Luminescent,Luna Novina,50,https://api.spotify.com/v1/audio-analysis/4WU2fTBAX3JkayltzAC55D
0.00223,62.672,0.0959,0.124,0.0389,205026,-37.874,ambient,Evolving,Cthulhu Ramón,43,https://api.spotify.com/v1/audio-analysis/0CSMEI3zYa4Jued0MkyNcz
0.00223,134.372,0.155,0.136,0.0362,186875,-44.747,wellness,Driftwood,Puddle of Head,48,https://api.spotify.com/v1/audio-analysis/5IOSHTjNe5zUAGyfcsHcWy
0.00229,66.833,0.25,0.0732,0.105,147143,-40.887,gaming,"Secunda (Transcr. Trifonov for Piano) - From ""The Elder Scrolls: Skyrim""","Jeremy Soule, Daniil Trifonov",52,https://api.spotify.com/v1/audio-analysis/4xEbrGC6A3Bw7hCw3yuwJz
0.00229,68.712,0.15,0.0869,0.113,170855,-40.456,wellness,Metamorphic,Celestial Echoes,44,https://api.spotify.com/v1/audio-analysis/6S5TAvYjNKzaVI5KR6DomW
0.00235,138.192,0.144,0.116,0.146,177600,-34.679,wellness,Solituda,Deep Vibrations,51,https://api.spotify.com/v1/audio-analysis/4WyBGcjHglkZUlOWi475cO
0.0024,137.633,0.144,0.116,0.221,168000,-36.669,ambient,In Vain,Kouyou,62,https://api.spotify.com/v1/audio-analysis/2I2Ain5zP8wFvBBQHaMfnO
0.00251,136.472,0.151,0.111,0.0546,173000,-40.069,wellness,Omegagigia,Galactica Pivot,58,https://api.spotify.com/v1/audio-analysis/7bgTGa2DeDTFX8yIbjhl2s
0.00253,133.059,0.157,0.113,0.0369,178600,-38.091,ambient,Cosmos,So Lis,51,https://api.spotify.com/v1/audio-analysis/2MBjwA8m5hDRJR62A19xh6
0.00257,138.171,0.146,0.108,0.0358,164413,-42.115,wellness,Tauri Verme,Aitne,55,https://api.spotify.com/v1/audio-analysis/3XhgsM5P391eg3PUVRBSGb
0.00293,115.722,0.294,0.0708,0.658,81776,-16.099,world,Japanese Peace Song,Asian Traditional Music,22,https://api.spotify.com/v1/audio-analysis/3kDOnhAAX3l0FQcZjLdQcP
0.00295,68.922,0.226,0.207,0.0347,167143,-36.149,ambient,Cove,Mareina,48,https://api.spotify.com/v1/audio-analysis/2dslILOVDhmXVEds5LUuDj
0.003,66.701,0.19,0.111,0.0588,140333,-42.687,ambient,Gentle Insight,Parting Clouds,44,https://api.spotify.com/v1/audio-analysis/6lk7e0kzmHfMt1cIciJ2D6
0.00308,139.117,0.142,0.112,0.072,161230,-37.775,wellness,Nightbreak,Ookean,51,https://api.spotify.com/v1/audio-analysis/7cHIf0anY63vOeXMtzmqVG
0.00311,76.933,0.0727,0.109,0.0374,256388,-43.06,ambient,Sogniare,Darmian Coté,47,https://api.spotify.com/v1/audio-analysis/2lRlv6866bap5dTst95GoN
0.00322,69.321,0.173,0.0938,0.0345,183899,-44.129,ambient,Moments,Nova Ambia,45,https://api.spotify.com/v1/audio-analysis/0ZUnUqTwUa985VvMYVAU0P
0.0033,72.295,0.0676,0.106,0.0368,168000,-40.803,wellness,Ephemara,Admira Mara,52,https://api.spotify.com/v1/audio-analysis/6MJP8z8GbPYyS69TvlrEL8
0.00362,69.677,0.235,0.0956,0.0885,105941,-37.822,classical,Behind Every Decision,Yehezkel Raz,70,https://api.spotify.com/v1/audio-analysis/2kbruQXVXFmxxm4l75zuwy
0.0037,140.566,0.14,0.112,0.141,170082,-37.4,ambient,Ascension,Echoes of Embers,43,https://api.spotify.com/v1/audio-analysis/5v18Tp6CsKglJO83kyLRJB
0.00375,65.669,0.117,0.0778,0.0581,138000,-40.669,ambient,Subdued,Calil,27,https://api.spotify.com/v1/audio-analysis/3NnOISTgydjYvBvV49JVXx
0.00379,140.649,0.14,0.113,0.192,162430,-38.183,ambient,Everbloom,Aerial Lakes,44,https://api.spotify.com/v1/audio-analysis/2M4mwRgcBVviiT4jeSaecT
0.00382,136.915,0.149,0.109,0.0423,195000,-37.088,wellness,Placidus,Elvio Martín,50,https://api.spotify.com/v1/audio-analysis/0k5fYqZwhHGPxMxmLYg6gu
0.00389,138.012,0.148,0.108,0.0395,195600,-37.419,wellness,Innervate,Jasmine Viola,52,https://api.spotify.com/v1/audio-analysis/2ZUsvuyl43t1oqiwGaHMt7
0.00389,138.54,0.145,0.121,0.0407,174000,-40.458,ambient,Hyperbola,Map Of My Mind,48,https://api.spotify.com/v1/audio-analysis/3ZHCgX2hgEXBWGDYu4NU1W
0.0039,63.037,0.0632,0.124,0.0777,167000,-38.529,wellness,Faithful,Ozo Nakuru,47,https://api.spotify.com/v1/audio-analysis/2epHEGzdynPsNt6AXiBnC7
0.0039,134.247,0.214,0.0924,0.144,141134,-35.794,wellness,Eleni,Carwyn,50,https://api.spotify.com/v1/audio-analysis/62FsGEI77Ot7VXNcA2ReHz
0.00398,85.993,0.0932,0.105,0.124,158782,-37.295,wellness,Heima,Ronja Mair,57,https://api.spotify.com/v1/audio-analysis/6cb2ZbtBESjuwhKawvm9qg
0.00403,142.112,0.136,0.109,0.0835,148542,-37.261,ambient,Golden Light,J. Cartwright,46,https://api.spotify.com/v1/audio-analysis/3XEHb3M4yb6CXyXfakxsyC
0.00404,135.785,0.154,0.128,0.0389,167216,-41.411,wellness,Luminescence,Author S,33,https://api.spotify.com/v1/audio-analysis/5xVDZEddHqUI4gLxWfFri0
0.00418,72.675,0.169,0.119,0.0673,150000,-38.049,wellness,Whispering Tides,Quiet Point,41,https://api.spotify.com/v1/audio-analysis/2ITqkX40AUFSv8TIBWoCQt
0.00438,70.706,0.14,0.114,0.0388,200000,-44.145,ambient,Breaking Silence,Sounding Cosmos,52,https://api.spotify.com/v1/audio-analysis/4380dhBofsUcbAwa2UqBMc
0.0047,163.665,0.225,0.0722,0.186,259493,-30.928,classical,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Frédéric Chopin, Mikhail Pletnev",65,https://api.spotify.com/v1/audio-analysis/2MSgFefjK0T7Iwjvr3OKqV
0.00478,80.186,0.0783,0.113,0.112,160413,-37.274,ambient,Incipits,Elviras,52,https://api.spotify.com/v1/audio-analysis/51cHdrCG6qyH5r9BPRK2K0
0.00489,143.452,0.135,0.0842,0.089,152250,-37.921,wellness,Shaded Cosmos,Bright Lens,58,https://api.spotify.com/v1/audio-analysis/3uvYdddUFjnlW9ONU4k4eD
0.00501,68.947,0.32,0.0618,0.0383,294960,-33.366,classical,"Suite bergamasque, L. 75: III. Clair de lune","Claude Debussy, Alice Sara Ott",65,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB
0.00511,142.247,0.138,0.106,0.0353,141371,-42.851,wellness,Let go,Nessa Wright,64,https://api.spotify.com/v1/audio-analysis/1NRLFIhFm333fvUE46FSC2
0.00514,67.551,0.195,0.106,0.0944,182390,-38.693,wellness,We Belong Here,Aaera Mio,47,https://api.spotify.com/v1/audio-analysis/0F6iu3jm5bJpTsyDKSaE4a
0.00527,170.612,0.184,0.173,0.151,315427,-37.264,classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",68,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG
0.00545,136.382,0.152,0.1,0.0513,147083,-37.562,wellness,Tranquillo,Escix V,47,https://api.spotify.com/v1/audio-analysis/7A1uziu96JlZBqgbYnx3VE
0.00555,68.571,0.166,0.0906,0.0747,173189,-38.28,wellness,Cosmic Enlightenment,Stepan Korolev,50,https://api.spotify.com/v1/audio-analysis/4FPF6KASKzwYP3XRjXm0jF
0.00579,71.827,0.376,0.0882,0.0369,296480,-31.615,classical,Gnossienne No. 1,"Erik Satie, Alena Cherny",62,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1
0.0058,109.481,0.158,0.11,0.0329,238038,-36.471,wellness,Serenede,myndstream,48,https://api.spotify.com/v1/audio-analysis/59RgVD5OaEP23JhlmmMyiF
0.00587,139.301,0.145,0.11,0.0371,164000,-38.136,ambient,Everlasting,Alma Meris,47,https://api.spotify.com/v1/audio-analysis/2tHwS5rv7nIDZWVu0lY62s
0.00591,67.999,0.153,0.13,0.0583,139750,-38.108,wellness,Abloom,Drishti,46,https://api.spotify.com/v1/audio-analysis/6hdHn3UvY4TKIXjarrXOOH
0.006,71.477,0.176,0.105,0.0383,636000,-42.238,classical,Spiegel im Spiegel - Version for Violin and Piano,"Arvo Pärt, Vladimir Spivakov, Sergej Bezrodny",47,https://api.spotify.com/v1/audio-analysis/4wudbbceOZKjRlhTtbHvAs
0.00641,68.298,0.143,0.102,0.0539,161355,-39.151,ambient,Animálico,Huma,66,https://api.spotify.com/v1/audio-analysis/3uZ4KyVZwwnfAt3IGhS3c0
